timestamp,level,ue_id,src,dst,success_rate
1,link,,SMF_1,UDM_1,0.997205
1,link,,AMF_2,SMF_2,0.997073
1,link,,AMF_3,gNB_2,0.99839
1,link,,AMF_1,gNB_3,0.998177
1,link,,AMF_1,SMF_1,0.998283
1,link,,SMF_1,UPF_3,0.998752
1,link,,PCF_1,SMF_1,0.99816
1,link,,AMF_1,gNB_1,0.997462
1,link,,SMF_1,UPF_1,0.998759
1,link,,AMF_1,SMF_2,0.998688
1,link,,SMF_2,UDM_1,0.9973
1,link,,PCF_1,SMF_2,0.998576
1,link,,AMF_2,gNB_2,0.998455
1,link,,SMF_1,UPF_2,0.997828
1,link,,PCF_2,SMF_1,0.998208
1,link,,AMF_3,SMF_1,0.997579
1,link,,SMF_2,UPF_3,0.998857
1,link,,AMF_3,gNB_3,0.997034
1,link,,AMF_3,gNB_1,0.998863
1,link,,SMF_2,UPF_1,0.997295
1,link,,PCF_2,SMF_2,0.997398
1,link,,AMF_1,gNB_2,0.997542
1,link,,AMF_3,SMF_2,0.998148
1,link,,AMF_2,gNB_3,0.998647
1,link,,AMF_2,SMF_1,0.997537
1,link,,SMF_2,UPF_2,0.998083
1,link,,AMF_2,gNB_1,0.997959
1,trace,UE_1,UE_1,gNB_2,0.998016
1,trace,UE_1,gNB_2,AMF_1,0.997542
1,trace,UE_1,AMF_1,SMF_2,0.998688
1,trace,UE_1,SMF_2,UDM_1,0.9973
1,trace,UE_1,UDM_1,SMF_2,0.9973
1,trace,UE_1,SMF_2,PCF_1,0.998576
1,trace,UE_1,PCF_1,SMF_2,0.998576
1,trace,UE_1,SMF_2,UPF_1,0.997295
1,trace,UE_1,UPF_1,SMF_2,0.997295
1,trace,UE_1,SMF_2,AMF_1,0.998688
1,trace,UE_1,AMF_1,gNB_2,0.997542
1,trace,UE_1,gNB_2,UE_1,0.997234
1,session,UE_1,,,0.974356
1,trace,UE_2,UE_2,gNB_3,0.997864
1,trace,UE_2,gNB_3,AMF_2,0.998647
1,trace,UE_2,AMF_2,SMF_1,0.997537
1,trace,UE_2,SMF_1,UDM_1,0.997205
1,trace,UE_2,UDM_1,SMF_1,0.997205
1,trace,UE_2,SMF_1,PCF_1,0.99816
1,trace,UE_2,PCF_1,SMF_1,0.99816
1,trace,UE_2,SMF_1,UPF_2,0.997828
1,trace,UE_2,UPF_2,SMF_1,0.997828
1,trace,UE_2,SMF_1,AMF_2,0.997537
1,trace,UE_2,AMF_2,gNB_3,0.998647
1,trace,UE_2,gNB_3,UE_2,0.998899
1,session,UE_2,,,0.975788
1,trace,UE_3,UE_3,gNB_1,0.997066
1,trace,UE_3,gNB_1,AMF_2,0.997959
