timestamp,level,ue_id,src,dst,success_rate
1,link,,AMF_3,UDM_1,0.998291
1,link,,AUSF_1,UDM_1,0.99811
1,link,,AMF_1,gNB_1,0.997909
1,link,,AMF_2,AUSF_1,0.997714
1,link,,AMF_2,gNB_7,0.997905
1,link,,AMF_4,gNB_1,0.997015
1,link,,AMF_4,gNB_3,0.997796
1,link,,AMF_3,gNB_2,0.997769
1,link,,AMF_1,gNB_6,0.997305
1,link,,AMF_1,gNB_5,0.997347
1,link,,AMF_2,gNB_4,0.998403
1,link,,AMF_3,gNB_7,0.998332
1,link,,AMF_3,AUSF_1,0.998536
1,link,,AMF_1,UDM_1,0.998242
1,link,,AMF_3,gNB_4,0.998093
1,link,,AMF_2,gNB_1,0.997205
1,link,,AMF_2,gNB_3,0.998657
1,link,,AMF_4,UDM_1,0.998265
1,link,,AMF_2,gNB_5,0.99848
1,link,,AMF_2,gNB_6,0.998464
1,link,,AMF_3,gNB_3,0.998986
1,link,,AMF_3,gNB_1,0.997611
1,link,,AMF_1,gNB_2,0.997764
1,link,,AMF_4,gNB_2,0.997871
1,link,,AMF_2,UDM_1,0.998569
1,link,,AMF_1,AUSF_1,0.998636
1,link,,AMF_3,gNB_6,0.998172
1,link,,AMF_1,gNB_7,0.997478
1,link,,AMF_4,AUSF_1,0.99849
1,link,,AMF_4,gNB_7,0.997882
1,link,,AMF_4,gNB_4,0.998926
1,trace,UE_1,UE_1,gNB_4,0.998677
1,trace,UE_1,gNB_4,AMF_3,0.998093
1,trace,UE_1,AMF_3,AUSF_1,0.998536
1,trace,UE_1,AUSF_1,UDM_1,0.99811
1,trace,UE_1,UDM_1,AUSF_1,0.99811
1,trace,UE_1,AUSF_1,AMF_3,0.998536
1,trace,UE_1,AMF_3,UDM_1,0.998291
1,trace,UE_1,UDM_1,AMF_3,0.998291
1,trace,UE_1,AMF_3,gNB_4,0.998093
1,trace,UE_1,gNB_4,UE_1,0.997817
1,session,UE_1,,,0.98269
1,trace,UE_2,UE_2,gNB_5,0.997452
1,trace,UE_2,gNB_5,AMF_1,0.997347
1,trace,UE_2,AMF_1,AUSF_1,0.998636
1,trace,UE_2,AUSF_1,UDM_1,0.99811
1,trace,UE_2,UDM_1,AUSF_1,0.99811
1,trace,UE_2,AUSF_1,AMF_1,0.998636
1,trace,UE_2,AMF_1,UDM_1,0.998242
1,trace,UE_2,UDM_1,AMF_1,0.998242
1,trace,UE_2,AMF_1,gNB_5,0.997347
1,trace,UE_2,gNB_5,UE_2,0.997611
1,session,UE_2,,,0.979916
1,trace,UE_3,UE_3,gNB_4,0.998202
1,trace,UE_3,gNB_4,AMF_2,0.998403
1,trace,UE_3,AMF_2,AUSF_1,0.997714
1,trace,UE_3,AUSF_1,UDM_1,0.99811
1,trace,UE_3,UDM_1,AUSF_1,0.99811
1,trace,UE_3,AUSF_1,AMF_2,0.997714
1,trace,UE_3,AMF_2,UDM_1,0.998569
1,trace,UE_3,UDM_1,AMF_2,0.998569
1,trace,UE_3,AMF_2,gNB_4,0.998403
1,trace,UE_3,gNB_4,UE_3,0.998563
1,session,UE_3,,,0.982497
1,trace,UE_4,UE_4,gNB_6,0.998961
1,trace,UE_4,gNB_6,AMF_3,0.998172
1,trace,UE_4,AMF_3,AUSF_1,0.998536
1,trace,UE_4,AUSF_1,UDM_1,0.99811
1,trace,UE_4,UDM_1,AUSF_1,0.99811
1,trace,UE_4,AUSF_1,AMF_3,0.998536
1,trace,UE_4,AMF_3,UDM_1,0.998291
1,trace,UE_4,UDM_1,AMF_3,0.998291
1,trace,UE_4,AMF_3,gNB_6,0.998172
1,trace,UE_4,gNB_6,UE_4,0.998846
1,session,UE_4,,,0.984139
1,trace,UE_5,UE_5,gNB_4,0.998535
1,trace,UE_5,gNB_4,AMF_2,0.998403
1,trace,UE_5,AMF_2,AUSF_1,0.997714
1,trace,UE_5,AUSF_1,UDM_1,0.99811
